learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1270.0,4.75,0.0,1270.0,70.89999999999999,34.745169797104566,1270.0,0.0,0.0,0.0
1280.0,4.828125,0.0,1280.0,70.89999999999999,34.64492655976282,1280.0,0.0,0.0,0.0
1290.0,4.90625,0.0,1290.0,71.0,34.73172488296723,1290.0,0.0,0.0,0.0
1300.0,4.984375,0.0,1300.0,70.8,34.59338138778508,1300.0,0.0,0.0,0.0
1310.0,5.0625,0.0,1310.0,70.89999999999999,34.74809625889085,1310.0,0.0,0.0,0.0
1320.0,5.140625,0.0,1320.0,71.0,35.20769285765353,1320.0,0.0,0.0,0.0
1330.0,5.21875,0.0,1330.0,70.7,34.93978043841261,1330.0,0.0,0.0,0.0
1340.0,5.296875,0.0,1340.0,70.6,34.551185870179815,1340.0,0.0,0.0,0.0
1350.0,5.375,0.0,1350.0,70.5,34.42404303561107,1350.0,0.0,0.0,0.0
1360.0,5.453125,0.0,1360.0,70.8,35.350171809132455,1360.0,0.0,0.0,0.0
1370.0,5.53125,0.0,1370.0,71.0,36.10871212788832,1370.0,0.0,0.0,0.0
1380.0,5.609375,0.0,1380.0,71.1,36.44887763000492,1380.0,0.0,0.0,0.0
1390.0,5.671875,0.0,1390.0,71.39999999999999,37.01300703428165,1390.0,0.0,0.0,0.0
1400.0,5.75,0.0,1400.0,71.5,37.17152834115198,1400.0,0.0,0.0,0.0
1410.0,5.828125,0.0,1410.0,71.3,36.85479683525922,1410.0,0.0,0.0,0.0
1420.0,5.90625,0.0,1420.0,71.5,37.204752168088554,1420.0,0.0,0.0,0.0
1430.0,6.0,0.0,1430.0,71.7,37.57995500463187,1430.0,0.0,0.0,0.0
1440.0,6.078125,0.0,1440.0,71.8,37.88683068654875,1440.0,0.0,0.0,0.0
1450.0,6.15625,0.0,1450.0,71.89999999999999,38.166742949688405,1450.0,0.0,0.0,0.0
1460.0,6.234375,0.0,1460.0,71.7,37.81039862875225,1460.0,0.0,0.0,0.0
1470.0,6.328125,0.0,1470.0,72.0,38.58356145153365,1470.0,0.0,0.0,0.0
1480.0,6.40625,0.0,1480.0,71.8,38.05873437740242,1480.0,0.0,0.0,0.0
1490.0,6.484375,0.0,1490.0,71.39999999999999,37.327980646179185,1490.0,0.0,0.0,0.0
1500.0,6.5625,0.0,1500.0,71.7,37.86774391850355,1500.0,0.0,0.0,0.0
1510.0,6.640625,0.0,1510.0,72.0,38.498034133591055,1510.0,0.0,0.0,0.0
1520.0,6.71875,0.0,1520.0,72.2,38.82284592599765,1520.0,0.0,0.0,0.0
1530.0,6.796875,0.0,1530.0,71.89999999999999,38.04841483310551,1530.0,0.0,0.0,0.0
1540.0,6.875,0.0,1540.0,71.89999999999999,38.02108606466981,1540.0,0.0,0.0,0.0
1550.0,6.984375,0.0,1550.0,72.0,38.219576451067695,1550.0,0.0,0.0,0.0
1560.0,7.078125,0.0,1560.0,72.1,38.144055621574644,1560.0,0.0,0.0,0.0
1570.0,7.15625,0.0,1570.0,71.89999999999999,37.90604145489901,1570.0,0.0,0.0,0.0
